"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Feb-2025","EQ","520.55","524.85","517.30","519.85","520.25","519.90","520.38","672.00","489.20","11,91,521","62,00,40,025.65","41,408"
"13-Feb-2025","EQ","525.55","528.80","517.30","525.75","519.45","519.85","524.42","672.00","489.20","14,84,585","77,85,46,325.90","37,094"
"12-Feb-2025","EQ","518.30","527.35","515.65","517.70","526.00","525.75","523.50","672.00","489.20","21,13,562","1,10,64,54,044.90","53,806"
"11-Feb-2025","EQ","529.90","532.20","515.70","528.10","518.90","517.70","521.55","672.00","489.20","11,77,152","61,39,46,318.40","55,742"
"10-Feb-2025","EQ","527.10","535.45","523.65","527.10","529.00","528.10","529.41","672.00","489.20","16,78,247","88,84,83,288.50","69,523"
"07-Feb-2025","EQ","529.65","529.85","520.15","526.20","527.00","527.10","526.16","672.00","489.20","20,97,013","1,10,33,55,378.75","40,582"
"06-Feb-2025","EQ","531.50","536.70","524.65","531.50","526.75","526.20","529.18","672.00","489.20","12,25,984","64,87,63,838.80","27,940"
"05-Feb-2025","EQ","542.00","543.00","530.65","541.05","531.90","531.50","537.41","672.00","489.20","28,11,816","1,51,11,01,789.20","53,562"
"04-Feb-2025","EQ","536.55","542.75","534.65","534.55","541.25","541.05","539.82","672.00","489.20","32,75,638","1,76,82,55,456.20","54,448"
"03-Feb-2025","EQ","540.40","546.40","530.30","539.10","534.50","534.55","537.02","672.00","489.20","37,92,769","2,03,67,86,739.05","1,11,929"
"01-Feb-2025","EQ","533.45","551.70","522.70","529.85","536.90","539.10","541.22","672.00","489.20","49,21,220","2,66,34,62,513.50","89,215"
"31-Jan-2025","EQ","538.00","542.80","523.00","533.70","529.65","529.85","531.46","672.00","489.20","43,02,619","2,28,66,76,232.75","91,581"
"30-Jan-2025","EQ","521.25","540.00","519.00","518.10","538.10","533.70","530.07","672.00","489.20","33,84,404","1,79,39,56,805.50","68,060"
"29-Jan-2025","EQ","525.00","527.50","515.50","525.35","518.00","518.10","518.06","672.00","489.20","22,01,858","1,14,07,01,766.00","55,102"
"28-Jan-2025","EQ","525.00","528.30","522.70","523.85","525.00","525.35","525.62","672.00","489.20","26,83,319","1,41,04,19,533.45","67,708"
"27-Jan-2025","EQ","517.10","532.95","517.10","521.65","524.40","523.85","526.96","672.00","489.20","30,23,866","1,59,34,60,169.85","67,391"
"24-Jan-2025","EQ","524.65","527.00","518.60","524.60","522.35","521.65","522.59","672.00","489.20","10,31,251","53,89,20,576.40","23,352"
"23-Jan-2025","EQ","518.10","526.70","515.15","520.50","524.55","524.60","523.25","672.00","489.20","6,98,448","36,54,64,420.55","26,607"
"22-Jan-2025","EQ","521.25","524.60","517.70","521.25","521.00","520.50","520.25","672.00","489.20","15,32,395","79,72,35,232.45","31,468"
"21-Jan-2025","EQ","522.05","528.90","519.50","521.60","520.80","521.25","524.51","672.00","489.20","22,58,554","1,18,46,43,070.95","39,667"
"20-Jan-2025","EQ","528.65","529.00","520.95","526.05","521.50","521.60","523.44","672.00","489.20","15,36,752","80,44,02,829.75","36,172"
"17-Jan-2025","EQ","521.50","531.85","516.00","522.40","527.15","526.05","526.97","672.00","489.20","29,43,339","1,55,10,54,079.70","77,905"
"16-Jan-2025","EQ","518.00","523.70","514.85","515.50","523.00","522.40","519.97","672.00","489.20","27,18,298","1,41,34,41,308.00","47,977"
"15-Jan-2025","EQ","513.00","516.45","510.20","512.50","515.00","515.50","514.03","672.00","489.20","19,59,656","1,00,73,12,409.00","48,236"
"14-Jan-2025","EQ","512.20","520.85","510.15","510.75","514.85","512.50","515.46","672.00","489.20","25,39,143","1,30,88,38,957.90","70,368"
